# instance_id=u2_t20,n_usvs=2,n_tasks=20,seed=2026051900
# battery_capacity=3139.0043276878,battery_policy=max_single_trip_energy,battery_safety_factor=1.20,max_single_trip_energy=2615.8369397398,farthest_task_id=16,map_width=1000,map_height=1000,speed=5.0,charge_time=10.0,energy_cost_per_distance=1.0,energy_cost_per_task_time=5.0
task_id,x,y,t1,t2,t3
0,607.5378235101645,705.5904179993846,4.936221317054912,6.481320546447349,7.252853268745421
1,280.92903500551404,545.2274646324591,17.088740728382636,19.092025938003083,22.262301371057436
2,120.2458447002438,970.8215449994325,12.046999807319336,15.863853639628548,18.616433471428564
3,675.743182194023,707.4834482850896,7.021215215557916,9.60693066823004,10.837627045598115
4,287.6867148488197,80.27552206660471,12.61298902182027,14.066347422278316,15.475056089032961
5,783.6958743825102,413.4570547573384,10.897062138873146,14.79255596270227,18.45430656379014
6,600.0013844127866,565.8962899695786,8.56962666915038,10.818468070363927,12.635574505376717
7,362.99483170713654,29.04105170807614,12.648790438324264,14.372510915814479,18.600155808689358
8,202.14585661893392,69.14427013021063,5.445363701596547,6.741477286871195,8.666167024054301
9,57.54545707569114,628.9421455094089,7.733674656047773,9.981751508459723,11.551351650450666
10,758.4607806450695,716.1076151069677,9.407428316440573,11.366120333746561,14.34580758996875
11,924.6254689156846,675.7389307360743,15.394356554303204,17.573575513069713,21.55322439969723
12,96.56072858345854,942.1916669257969,12.496324395735295,14.151076486893546,17.898147819117124
13,640.4076441799177,455.0644195578639,13.826731614687228,17.60726293254738,22.254157778729287
14,246.94436728912217,886.4749246905234,17.715821390618242,19.930481370905216,22.325365668840277
15,413.530279191137,602.0568730505338,11.290508743697952,13.162513983528466,16.819761442507055
16,876.268526888641,928.7512878662036,8.780562620368144,12.472997368154832,15.933145223093625
17,466.5883010124884,430.1845285138912,11.54700059742797,14.731739544731147,18.939528418321803
18,242.69903785426848,205.9705481063241,7.697052606442116,8.970831122721435,11.310645555539152
19,998.8979510023956,42.18123781059513,6.8292588586369956,7.887980309545826,10.21728336439505
