# instance_id=u12_t150,n_usvs=12,n_tasks=150,seed=2026052602
# battery_capacity=3184.3217149909,battery_policy=max_single_trip_energy,battery_safety_factor=1.20,max_single_trip_energy=2653.6014291591,farthest_task_id=148,map_width=1000,map_height=1000,speed=5.0,charge_time=10.0,energy_cost_per_distance=1.0,energy_cost_per_task_time=5.0
task_id,x,y,t1,t2,t3
0,486.44973339670304,550.8618333138174,5.975829189911261,6.7542483749570845,8.387937371487062
1,813.7712306035341,489.3821416816134,7.516623346950523,9.633122236487115,11.057427106826212
2,992.6592465297695,296.2397114118761,5.843062223841328,7.5085116472472135,9.25732553445856
3,723.9890113770567,834.3704125721724,7.623583344050736,10.010686853372379,11.719723577762986
4,127.85964843943032,968.911786269448,7.188918728297121,8.884370787541869,10.819634723655016
5,666.893179168716,314.51589003924295,7.08560492949777,10.069595541526423,11.18271542067535
6,923.3373247830193,474.25361042750893,9.9892102745171,11.400665269989556,14.712972853663253
7,50.615939924344325,187.08194664170884,7.844272699597314,11.01817684326107,14.141245573727506
8,595.3469096312165,198.7794378912192,14.439390068422279,16.752961408691263,19.941427477863886
9,437.7099418230265,373.08492506685064,11.63435501092147,15.580876227728487,19.998146251410393
10,180.2311537060537,600.2996193404116,9.439838015064842,11.299475934595122,13.699986749893592
11,466.99028187030643,753.9046193286791,7.099476803308452,7.935302409209464,9.703236322133659
12,834.6511455214575,193.118100094555,10.99658176431181,12.606850859202101,16.264889503497834
13,539.7108084520594,393.19999435959085,13.709610828969284,18.87350716087946,23.539642157065604
14,611.2710541942286,559.6459262816658,4.871080461602613,6.865894964566184,8.461681900677481
15,954.0795589961422,708.0226148075928,9.234144028826108,13.123613045772103,16.522847950429707
16,655.1579258728641,996.8562946989888,14.360415929398215,18.701229037431247,22.66185027734811
17,480.7296028873297,393.1605110207056,15.388812274009199,17.83696483593565,19.621882403975004
18,935.2569484171694,778.9248875726975,12.622813129717146,15.383467344491308,17.680908111142394
19,571.5402006478614,533.0063263588473,10.840271028310804,13.9760941140687,15.979334562956828
20,445.1080811979589,241.0177461536771,4.988052849423564,6.218554266110415,7.1839552114171905
